focal_addr,focal_addr_type,blacklist,tot_txn,tot_val,min_val,max_val,sd2_val,unq_other_addr,days_diff_first_last,contract_creation,recv_txn,tot_val_recv,min_val_recv,max_val_recv,avg_val_recv,sd2_val_recv,unq_from_addr,days_diff_first_last_recv,sent_txn,tot_val_sent,min_val_sent,max_val_sent,avg_val_sent,sd2_val_sent,unq_to_addr,days_diff_first_last_sent,to_contract_txn,tot_val_to_contract,min_val_to_contract,max_val_to_contract,avg_val_to_contract,erc20_txn,sum_val_erc20,erc721_txn,sum_val_erc721,days_since_last_txn
0x1c6ddf5562fc78024508d8562a7319f9edce9f37,wallet address,0.0,2.0,1.2851e+17,0.0,1.2851e+17,4.128705025e+33,2.0,170.656203703489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2851e+17,0.0,1.2851e+17,6.4255e+16,4.128705025e+33,2.0,170.656203703489,2.0,1.2851e+17,0.0,1.2851e+17,6.4255e+16,0.0,0.0,0.0,0.0,16.0
0x1c702a9344ef507f7cc105616e8aab60d75c8dcb,wallet address,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0
0x1cca2bf2683a221e597f8fbaf5d5920c0eb8f559,wallet address,0.0,1.0,8.3302693e+16,8.3302693e+16,8.3302693e+16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3302693e+16,8.3302693e+16,8.3302693e+16,8.3302693e+16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
0x1ce140d996250a8f7f6f210b43ba74d790f4fa21,wallet address,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
0x1d00aa80bee1c2ecdc7f5fce534b4542d5928ac1,wallet address,0.0,12.0,2.13611816791931e+17,0.0,9.84934442763489e+16,1.16652515701971e+33,4.0,60.3388888891786,0.0,2.0,1.18161786849705e+17,1.96683425733567e+16,9.84934442763489e+16,5.90808934248528e+16,1.55334916462176e+33,1.0,60.3368055559694,10.0,9.54500299422257e+16,0.0,8.74594219798922e+16,9545002994222570.0,6.80192948706738e+32,3.0,60.3386111110448,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0x1d5dc24263210a8dfdccb961a8ac4bda030eba47,wallet address,0.0,5.0,1402319400000000.0,0.0,1402319400000000.0,3.14639951938617e+29,2.0,19.1579166669398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1402319400000000.0,0.0,1402319400000000.0,280463880000000.0,3.14639951938617e+29,2.0,19.1579166669398,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
0x1d618da5cd542f3d4bb6b51a22e15486b8138284,wallet address,0.0,1.0,20497101938900.0,20497101938900.0,20497101938900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20497101938900.0,20497101938900.0,20497101938900.0,20497101938900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0
0x1dcfb427f87001e4dfbe1f007953e6c8808aefa3,wallet address,0.0,1.0,2.119697e+18,2.119697e+18,2.119697e+18,0.0,1.0,0.0,0.0,1.0,2.119697e+18,2.119697e+18,2.119697e+18,2.119697e+18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
0x1e139c016b1b0f24755f96dee59d19af309c1bf6,wallet address,0.0,4.0,3.11683692371479e+17,0.0,2.85518898294417e+17,1.43941657483724e+34,2.0,10.9177777781151,0.0,1.0,1.30349193375261e+16,1.30349193375261e+16,1.30349193375261e+16,1.30349193375261e+16,0.0,1.0,0.0,3.0,2.98648773033953e+17,0.0,2.85518898294417e+17,9.95495910113177e+16,1.73210238941238e+34,2.0,10.9177777781151,2.0,2.85518898294417e+17,0.0,2.85518898294417e+17,1.42759449147208e+17,0.0,0.0,0.0,0.0,140.0
0x1e17e7558aa9f4e786eb3154d73f6a03dc9c1d20,wallet address,0.0,1.0,2443286500000000.0,2443286500000000.0,2443286500000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2443286500000000.0,2443286500000000.0,2443286500000000.0,2443286500000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
